hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,token
Resort Hotel,0,37,2015,July,27,1,1,4,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,97.29,0,1,Check-Out,2015-07-06,John Matthews,John.Matthews@aol.com,952-496-4398,************1019,8ce3f944aae1da004f96790f8cd6150d
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,84.67,0,1,Check-Out,2015-07-07,Robert Chung,Robert.Chung47@yandex.com,382-465-6552,************8524,27e991214aac37c60595db81b2202a9c
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,84.67,0,1,Check-Out,2015-07-07,Mark Garcia,MGarcia16@comcast.net,784-675-4921,************4371,68de2091f8b2b67090984e9a2f97aed0
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,99.67,0,1,Check-Out,2015-07-07,Brandon Taylor,BrandonTaylor@hotmail.com,227-329-7167,************8470,a2c6fed117246030e1b5ce7cab2d7f8e
Resort Hotel,0,127,2015,July,27,1,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115.0,,0,Contract,94.95,0,1,Check-Out,2015-07-01,Angie Sanchez,Angie_Sanchez@att.com,211-889-2476,************8871,b07fcb06aa796068a204079db2623263
Resort Hotel,0,78,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,63.6,1,0,Check-Out,2015-07-08,Alexis King,King_Alexis70@hotmail.com,103-516-5853,************6809,520838a42139b27fcf61b51e2f3897b3
Resort Hotel,0,48,2015,July,27,1,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out,2015-07-08,Michael Davidson,MichaelDavidson82@att.com,336-525-2460,************8662,1a1ed28a8cf70c2b105da1fed98676bb
Resort Hotel,1,60,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,107.0,0,2,Canceled,2015-05-11,Jaime Flynn,JaimeFlynn29@gmail.com,549-866-3721,************9660,d6d19a08f8aa78c76d323b356db9e463
Resort Hotel,0,77,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,94.0,0,0,Check-Out,2015-07-08,Mrs. Alicia Williams,Mrs..W61@yandex.com,427-564-4927,************4445,79aa1c4909b05e29f510cad365d53ae8
Resort Hotel,0,99,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,87.3,1,1,Check-Out,2015-07-08,Heather Hart,Heather.H@xfinity.com,431-329-6663,************2780,d632fe6e520d8704f72fd6831525d4b0
Resort Hotel,0,118,2015,July,27,1,4,10,1,0.0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,62.0,0,2,Check-Out,2015-07-15,Diamond Wilson,Wilson.Diamond@comcast.net,870-563-6202,************8017,be810131e78def6898c5b67032e8eb98
Resort Hotel,0,95,2015,July,27,1,4,11,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,63.86,0,0,Check-Out,2015-07-16,Paul Williams,Williams_Paul@xfinity.com,789-736-8837,************7006,895da79573d20d9f9f4e11d23470f442
Resort Hotel,1,96,2015,July,27,1,2,8,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,108.3,0,2,Canceled,2015-05-29,Reginald Cunningham,Reginald_C57@outlook.com,800-249-2144,************5699,f34c721255ee3e3e2cb2aca9f2a6bc05
Resort Hotel,0,69,2015,July,27,2,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175.0,,0,Transient,65.5,0,0,Check-Out,2015-07-08,Willie Sims,Willie_S@yahoo.com,790-830-7635,************7682,aeb9e246a6b84ecf581603674a3ca6f8
Resort Hotel,1,45,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1,Canceled,2015-05-19,Alex Brown,Alex.B@zoho.com,956-737-1944,************4084,61e646f92dc5981e485a1907b343df1a
Resort Hotel,1,40,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1,Canceled,2015-06-19,Virginia Holden,Virginia.H@aol.com,734-480-9929,************8469,7a33f063e53e0a3825ef697f1f160c53
Resort Hotel,0,15,2015,July,27,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,98.0,0,0,Check-Out,2015-07-06,John Smith,John_Smith@xfinity.com,624-965-3392,************6445,aefeb00617fe12887fa298c59a018d8d
Resort Hotel,0,36,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1,Check-Out,2015-07-06,Jennifer Barton,JBarton@hotmail.com,902-792-8048,************2544,cf602d2c1914199a3135d09157f02a33
Resort Hotel,1,43,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,0,Canceled,2015-05-23,Richard Holt,Richard.Holt@hotmail.com,517-420-6344,************7544,83c0c02a515000812056b4cf53fb6da6
Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,137.0,0,1,Check-Out,2015-07-07,Amy Green,Amy.Green56@gmail.com,858-208-4589,************3073,0192fcc5470ae405917be84119aefa5b
Resort Hotel,1,45,2015,July,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,117.81,0,0,Canceled,2015-05-18,Kimberly Perez,Perez.Kimberly84@hotmail.com,320-615-3590,************4653,966ee81a9f8445be8ee0ad0b472f41a3
Resort Hotel,0,45,2015,July,27,2,2,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out,2015-07-07,Carly Armstrong,CArmstrong@mail.com,521-784-3601,************7391,243ad5e97c81d5cd2bf910245d8a4b44
Resort Hotel,0,16,2015,July,27,2,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,123.0,0,0,Check-Out,2015-07-07,Scott Hammond,ScottHammond41@verizon.com,632-108-8350,************4823,7a63ec82f0890406591a2431b0f7f2d9
Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,137.0,0,1,Check-Out,2015-07-07,Debra Fuller,Debra.Fuller@protonmail.com,229-134-3710,************3550,06311d7e55d9a208c3a4fd79fce76216
Resort Hotel,0,107,2015,July,27,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,110.7,0,2,Check-Out,2015-07-09,Rachel Davis,RachelDavis@mail.com,549-261-2558,************2810,fd980db228a13e5a4742eda2af72b8df
Resort Hotel,1,47,2015,July,27,2,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,153.0,0,0,Canceled,2015-06-02,Michael Mccormick,Mccormick.Michael19@aol.com,380-830-9585,************2950,62d1d599cae85056af85edf86f1e8f43
Resort Hotel,0,96,2015,July,27,2,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,58.95,0,1,Check-Out,2015-07-09,Ann Sullivan,AnnSullivan@att.com,947-577-3720,************4782,85a31520a61182edf6485ce7e9397cd2
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,Rachel Wallace,Rachel_W79@xfinity.com,870-988-2775,************1133,2a1c418ee5ac5493acb9dbff6cbf4a45
Resort Hotel,0,90,2015,July,27,2,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243.0,,0,Contract,82.35,0,0,Check-Out,2015-07-09,Carla Ferguson,Carla_Ferguson@att.com,724-910-8709,************8339,cf2a151f1bd8db6edb8fbc3ae3b0fc55
Resort Hotel,0,50,2015,July,27,2,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241.0,,0,Transient,119.35,0,1,Check-Out,2015-07-09,Greg Hardin,Hardin_Greg@gmail.com,488-646-3204,************1449,dee89ce3940727776955b83a2c94caa6
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,Rachel Ho,Ho_Rachel74@aol.com,338-173-6502,************4642,3f2c81bb6bb3fc0dd266f2613f6590cc
Resort Hotel,0,93,2015,July,27,2,3,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Contract,56.01,0,0,Check-Out,2015-07-13,Elizabeth Joseph,Joseph_Elizabeth@yandex.com,625-613-9890,************5898,733e8851f777bf8f1de42fde033b4c10
Resort Hotel,0,76,2015,July,27,2,4,10,2,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Contract,110.7,0,0,Check-Out,2015-07-16,Stephen Brown,Stephen.Brown@att.com,154-115-9953,************6842,f57eebe02b680f3ad5830f3ed31ea453
Resort Hotel,0,3,2015,July,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,88.2,1,0,Check-Out,2015-07-03,Scott Ward,Scott_Ward11@hotmail.com,463-281-5751,************2726,23ecc88e02fe1d6a62fad9c7ecedffa7
Resort Hotel,0,1,2015,July,27,2,0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,147.0,1,0,Check-Out,2015-07-03,Derrick Bailey,Derrick_Bailey@protonmail.com,709-066-0652,************6401,5f38dbc484c58228353abccdf24ada2b
Resort Hotel,0,1,2015,July,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,1,2,Check-Out,2015-07-03,Jessica Cole,Jessica_Cole@yahoo.com,179-191-0924,************3609,203c7e261d2666d53f8d3f96ec193bc7
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,147.0,0,0,Check-Out,2015-07-03,Reginald Russo,Russo.Reginald65@comcast.net,765-624-6051,************1221,7fff4493d5f57b93407ae3889bf392a2
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,117.9,0,2,Check-Out,2015-07-03,William Sanchez,William.Sanchez@mail.com,120-215-7905,************2923,984bed0f4f91e8d5503b6a32aed6086b
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,123.0,0,0,Check-Out,2015-07-03,Diane Rose,Diane.Rose@protonmail.com,362-196-5800,************7251,b85d71aa7e6857f250dd4e1aa8490f02
Resort Hotel,0,14,2015,July,27,2,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,,0,Transient,98.0,0,1,Check-Out,2015-07-04,Nathan Smith,Nathan_Smith@comcast.net,689-649-9029,************4556,d2c0a72e27a5037a875a17686a0e51d2
Resort Hotel,0,10,2015,July,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,117.81,0,0,Check-Out,2015-07-04,Andrew Bullock,AndrewBullock17@hotmail.com,674-443-2397,************4571,6e4ae8042244e2da1471873e0548e5d2
Resort Hotel,0,5,2015,July,27,2,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,135.0,1,2,Check-Out,2015-07-04,Nancy Mccormick,Nancy.M@protonmail.com,199-421-8585,************7707,2aad5d9551b9cc7dcbe6ed6c0ba26ba0
Resort Hotel,0,17,2015,July,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,133.0,0,1,Check-Out,2015-07-05,Barbara Cole,Barbara.Cole@hotmail.com,152-786-1085,************6762,e2967201bdd5469097c2fde23a89eb4e
Resort Hotel,0,93,2015,July,27,2,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115.0,,0,Contract,58.95,0,0,Check-Out,2015-07-05,Sheri Aguilar,Aguilar.Sheri22@att.com,333-467-7388,************5982,f9b431b1b0c7ce7910e388228f331f74
Resort Hotel,1,3,2015,July,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,136.33,0,2,Canceled,2015-06-29,Sandra Graham,Sandra_Graham@xfinity.com,141-723-4259,************4525,deeb00049bb6c1819546a113612c3086
Resort Hotel,0,10,2015,July,27,3,0,2,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240.0,,0,Transient,153.0,1,0,Check-Out,2015-07-05,Christopher Cabrera,Cabrera.Christopher@yahoo.com,852-612-3076,************8922,6cb3d606b16dcdb0c7a6316be99ce0b3
Resort Hotel,0,3,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,110.5,0,0,Check-Out,2015-07-05,Melinda Flores,Flores_Melinda@yahoo.com,419-443-6780,************9114,5acb640f7e12f3008ce6ef6d654b5810
Resort Hotel,0,51,2015,July,27,3,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,97.0,0,0,Check-Out,2015-07-05,Michael Whitehead,Michael.W@mail.com,738-618-2202,************8548,54082edd60af8fef6f2041dcfa263ac2
Resort Hotel,1,71,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,110.3,0,2,Canceled,2015-06-16,Brent Hamilton,Brent.Hamilton15@gmail.com,304-692-3370,************9129,4e68cc8d012a338e39a17736ecb1b818
Resort Hotel,1,63,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,0,2,Canceled,2015-06-18,Jessica Bradford,JBradford@outlook.com,207-319-4187,************6345,f62f55e212f2a99bfbc6cc8e8bf61fe4
Resort Hotel,1,62,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,97.0,0,1,Canceled,2015-07-03,Marissa Robinson,MarissaRobinson@mail.com,770-855-7071,************8906,bcce8df5231605cab3e6dbf770a3c358
Resort Hotel,1,101,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,1,Canceled,2015-06-12,Jennifer Curry,Jennifer_Curry@hotmail.com,964-722-0569,************2465,de990c8fe3ee4d8895f13171a21b86ce
Resort Hotel,0,2,2015,July,27,3,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,91.5,0,0,Check-Out,2015-07-05,Teresa Maldonado,Maldonado_Teresa95@protonmail.com,623-086-5362,************7419,47af1059fca8d6fde5815b2ffb90f5cf
Resort Hotel,0,15,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,114.5,0,0,Check-Out,2015-07-05,Bryan Perez,BryanPerez@gmail.com,125-111-5926,************7649,d610ced44ab54ae913209a26ceb84aa1
Resort Hotel,1,51,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,110.3,0,0,Canceled,2015-06-09,Timothy Horn,Timothy.H@yandex.com,308-321-9169,************9797,49439e2eebdf7f82e69157433594b252
Resort Hotel,0,3,2015,July,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,90.9,1,0,Check-Out,2015-07-06,Angela Williams,Angela.Williams@xfinity.com,580-737-9824,************2429,b2de48741d5399d62716a8ed96fd425a
Resort Hotel,1,48,2015,July,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Canceled,2015-05-26,Lee Ramirez MD,LMD@yahoo.com,764-987-4238,************1841,e2088ef64d11ab83ff496040a98d5a69
Resort Hotel,0,2,2015,July,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,122.0,0,0,Check-Out,2015-07-07,Allen Hoffman,AHoffman@protonmail.com,387-020-2239,************6785,e7272c5061c4669702bc2154e5bb0d70
Resort Hotel,0,72,2015,July,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105.0,,0,Transient,110.7,1,0,Check-Out,2015-07-07,Michael Yu,Michael_Yu59@comcast.net,648-953-8540,************2015,9627240cea5fc2e0e444287b808c14d1
Resort Hotel,0,81,2015,July,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,85.86,0,0,Check-Out,2015-07-11,Anthony Moss,Anthony_Moss18@yandex.com,963-680-1077,************1583,0e89ffc76512d49933f805fe6ba31fdb
Resort Hotel,0,99,2015,July,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,58.95,0,0,Check-Out,2015-07-12,Tony Olson,Tony_O@outlook.com,177-359-1844,************2796,785ad57d2212a49d273f042a0d367145
Resort Hotel,1,368,2015,July,27,3,3,7,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,55.68,0,0,Canceled,2015-05-19,Clayton Cowan,Clayton.Cowan31@protonmail.com,504-743-2620,************8621,be43f4e0305a7a3b2f6371461552b5f0
Resort Hotel,0,364,2015,July,27,3,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,55.68,0,0,Check-Out,2015-07-13,Mrs. Debra Jackson DDS,DDS_Mrs.@att.com,307-631-6954,************5361,ae1e7d4d4150cf892839afd71dc49158
Resort Hotel,1,81,2015,July,27,3,3,7,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,,0,Transient,124.0,0,1,Canceled,2015-06-09,Raymond Young,Young.Raymond92@verizon.com,699-642-7831,************1207,af4fd070bb525ee8c7dad686da37bda2
Resort Hotel,0,99,2015,July,27,3,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,,0,Contract,111.15,0,0,Check-Out,2015-07-13,Lisa Schroeder,Schroeder.Lisa@comcast.net,530-765-2207,************6525,d39fc8e0ea1c2b894fe64db6be8a76f0
Resort Hotel,0,324,2015,July,27,3,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,,0,Contract,134.73,0,0,Check-Out,2015-07-17,Kristin Roberts,Kristin_Roberts56@protonmail.com,697-234-2961,************5111,ad18d63a9e21734f106803b444e42ba4
